Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,city mpg,Popularity,MSRP,Car_Type,Value_Score
Audi,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,15.0,3105,2000,Normal,0.008643006263048017
Audi,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.01065713312904324
Audi,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,16.0,3105,2000,Normal,0.009411229824960218
Audi,1991,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,16.0,3105,2000,Normal,0.0077746478873239435
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,25170,Normal,0.010154095701540957
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,23950,Normal,0.009411229824960218
Chrysler,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,29370,Normal,0.00744738262277388
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,21995,Normal,0.009847412301400032
Chrysler,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,26625,Normal,0.010466477177729477
Chrysler,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,30825,Normal,0.00920409070698088
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,21995,Normal,0.0075081610446137105
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,27795,Normal,0.008057609964966914
Chrysler,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,31785,Normal,0.008452429563086974
Chrysler,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,29905,Normal,0.010466477177729477
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,22490,Normal,0.009847412301400032
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,27570,Normal,0.00775716694772344
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,25690,Normal,0.00920409070698088
Chrysler,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,24490,Normal,0.008057609964966914
Chrysler,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,29905,Normal,0.010129449838187702
Chrysler,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,31785,Normal,0.00744738262277388
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,26685,Normal,0.009411229824960218
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,22490,Normal,0.008452429563086974
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,25690,Normal,0.0705
Chrysler,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,18.0,1013,30900,Normal,0.0805
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,27795,Normal,0.0805
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,21995,Normal,0.07
Chrysler,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23.0,1013,24490,Normal,0.07
Nissan,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,26.0,2009,2000,Normal,0.07718282682103232
Nissan,1996,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,21.0,2009,2000,Normal,0.04943181818181818
Nissan,1997,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,21.0,2009,2000,Normal,0.044501278772378514
Nissan,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,25.0,2009,2000,Normal,0.04160688665710186
Nissan,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,25.0,2009,2000,Normal,0.04070714119562689
Nissan,1998,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,20.0,2009,2073,Normal,0.04261017774531288
Nissan,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,2009,3713,Normal,0.0665
Nissan,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,2009,3520,Normal,0.066
Nissan,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,2009,3910,Normal,0.0665
Nissan,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,2009,4182,Normal,0.0665
Nissan,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,19.0,2009,4107,Normal,0.0665
Nissan,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,2009,4299,Normal,0.0665
Nissan,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,2009,4693,Normal,0.066
Nissan,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,20.0,2009,4107,Normal,0.00805243445692884
Volvo,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,19.0,870,2000,Normal,0.008878183069511356
Volvo,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,18.0,870,2000,Normal,0.007591933570581257
Volvo,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,19.0,870,2000,Normal,0.008327911515940143
Volvo,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,19.0,870,2000,Normal,0.00750733137829912
Volvo,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,19.0,870,2000,Normal,0.008226221079691516
Volvo,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,19.0,870,2000,Normal,0.008763586956521739
Volvo,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,18.0,870,2000,Normal,0.00750733137829912
Mazda,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29.0,586,16020,Normal,0.008226221079691516
Mazda,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29.0,586,14530,Normal,0.007958050586057988
Mazda,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28.0,586,16860,Normal,0.008763586956521739
Mazda,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28.0,586,15370,Normal,0.006772486772486773
Mazda,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28.0,586,17050,Normal,0.0062604540023894865
Mazda,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28.0,586,15560,Normal,0.006093023255813954
Mazda,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29.0,586,16210,Normal,0.0065040650406504065
Mazda,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29.0,586,14720,Normal,0.006847935548841893
Mazda,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28.0,586,17050,Normal,0.006166097838452787
Mazda,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,28.0,586,15560,Normal,0.006269368295589988
Mazda,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29.0,586,16210,Normal,0.007178464606181456
Mazda,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29.0,586,14720,Normal,0.007013333333333333
BMW,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,20.0,3916,47250,Normal,0.007337142857142857
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,22.0,3916,41850,Normal,0.005121426360854166
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,22.0,3916,43000,Normal,0.005808297567954221
BMW,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,20.0,3916,49200,Normal,0.006994535519125683
BMW,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,20.0,3916,49650,Normal,0.004856156501726122
BMW,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,23.0,3916,43950,Normal,0.005146341463414634
BMW,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,22.0,3916,41950,Normal,0.006191198786039453
BMW,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,25.0,3916,50150,Normal,0.005017921146953405
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,3916,37500,Normal,0.007154811715481171
BMW,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,21.0,3916,43750,Normal,0.005012186400835947
BMW,2015,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,19.735628073312473,3916,39000,Normal,0.006831812255541069
BMW,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,22.0,3916,39500,Normal,0.006493184634448575
BMW,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,23.0,3916,34950,Normal,0.006143024618991794
BMW,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,20.0,3916,45750,Normal,0.006153846153846154
BMW,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,31.0,3916,43450,Normal,0.00577524893314367
BMW,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31.0,3916,41000,Normal,0.007467248908296943
BMW,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,24.0,3916,32950,Normal,0.006993548387096774
BMW,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30.0,3916,41850,Normal,0.005726375176304655
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,22.0,3916,47800,Normal,0.006068759342301943
BMW,2016,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,19.735628073312473,3916,39850,Normal,0.006650306748466258
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22.0,3916,38350,Normal,0.004970414201183432
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,22.0,3916,40350,Normal,0.006309662398137369
BMW,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,22.0,3916,38350,Normal,0.004962375852753105
BMW,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,22.0,3916,42650,Normal,0.006833667334669339
BMW,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,24.0,3916,33150,Normal,0.007118997912317328
BMW,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,23.0,3916,35150,Normal,0.004724409448818898
BMW,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,30.0,3916,44150,Normal,0.08602150537634409
BMW,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22.0,3916,45800,Normal,0.096
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,3916,38750,Normal,0.0875
BMW,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,23.0,3916,35450,Normal,0.09121140142517815
BMW,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,3916,33450,Normal,0.08731241473396999
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,23.0,3916,40750,Normal,0.0965
BMW,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30.0,3916,42250,Normal,0.0903954802259887
BMW,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,23.0,3916,42950,Normal,0.06813063063063063
BMW,2017,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,19.735628073312473,3916,40250,Normal,0.10647085819183112
BMW,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,21.0,3916,49900,Normal,0.072
BMW,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,21.0,3916,47900,Normal,0.072
BMW,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,30.0,3916,44450,Normal,0.10180900294488851
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,15.0,617,2232,Normal,0.06371263765076035
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,15.0,617,2000,Normal,0.08699592206615316
Mercedes-Benz,1991,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,17.0,617,2000,Normal,0.096
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,15.0,617,2105,Normal,0.10320284697508897
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,15.0,617,2199,Normal,0.09346246973365617
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,16.0,617,2000,Normal,0.0651747153513938
Mercedes-Benz,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,15.0,617,2124,Normal,0.08413672217353199
Mercedes-Benz,1991,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,14.0,617,3552,Normal,0.088
Mercedes-Benz,1991,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,15.0,617,2179,Normal,0.07547169811320754
Mercedes-Benz,1991,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,617,2000,Normal,0.09762202753441802
Mercedes-Benz,1992,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,617,2000,Normal,0.072
Mercedes-Benz,1992,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,14.0,617,2377,Normal,0.05797795879252515
Mercedes-Benz,1992,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,15.0,617,3814,Normal,0.10699588477366255
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,15.0,617,2207,Normal,0.060828142176621476
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,15.0,617,2000,Normal,0.07891491985203453
Mercedes-Benz,1992,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,15.0,617,2248,Normal,0.09390298175344905
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,16.0,617,2065,Normal,0.09527559055118111
Mercedes-Benz,1992,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,18.0,617,2547,Normal,0.05962953565085004
Mercedes-Benz,1992,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,15.0,617,2282,Normal,0.054021244309559936
Mercedes-Benz,1992,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,18.0,617,2000,Normal,0.0559254327563249
Mercedes-Benz,1993,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,15.0,617,2544,Normal,0.05007451564828614
Mercedes-Benz,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,17.0,617,2397,Normal,0.04809510942988381
Mercedes-Benz,1993,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23.0,617,2000,Normal,0.05031042603296938
Mercedes-Benz,1993,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,14.0,617,4174,Normal,0.04428948360346777
Mercedes-Benz,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,17.0,617,2187,Normal,0.04421052631578947
Mercedes-Benz,1993,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,18.0,617,2729,Normal,0.04352078239608802
Mercedes-Benz,1993,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,15.0,617,2433,Normal,0.00846420015970189
